time	run_id	epoch	ret_pos_mean	ret_neg_mean	ret_gap	ret_pos_std	u_mode_mean	u_mode_std	epistemic_v_mean	var_text_mean	kl_text_mean	evidential_loss	neg_reg_loss	evidential_unc	logsigma_v
2026-06-07T12:57:29	ckpt_msrvtt_20260607_102327	1	33.611748	23.427839	10.183910	2.909962	0.351424	0.001919	0.919137	0.497899	0.189227	13.091876	0.230388	0.966830	-1.080764
2026-06-07T15:24:35	ckpt_msrvtt_20260607_102327	2	47.152016	34.509843	12.642173	2.977832	0.297787	0.001304	0.300612	0.223449	0.361113	9.181185	0.631190	0.979222	-1.499567
2026-06-07T18:11:19	ckpt_msrvtt_20260607_102327	3	46.571664	32.210285	14.361379	2.986924	0.296591	0.001157	0.301280	0.223337	0.361272	7.001196	0.855910	0.978976	-1.499781
2026-06-07T20:41:32	ckpt_msrvtt_20260607_102327	4	44.443091	28.657747	15.785344	2.932026	0.296601	0.001110	0.302299	0.223368	0.361223	7.171925	0.863914	0.977989	-1.499832
2026-06-07T23:23:05	ckpt_msrvtt_20260607_102327	5	43.227654	26.830782	16.396872	2.900375	0.296650	0.001080	0.302722	0.223346	0.361255	7.339866	0.858496	0.977387	-1.499849
