time	run_id	epoch	ret_pos_mean	ret_neg_mean	ret_gap	ret_pos_std	u_mode_mean	u_mode_std	epistemic_v_mean	var_text_mean	kl_text_mean	evidential_loss	neg_reg_loss	evidential_unc	logsigma_v
2026-06-26T01:46:03	ckpt_msrvtt_20260624_hn_pack_clean_diagB_seed43_pack42_2gpu_b64	2	49.850568	37.039437	12.811130	2.917140	0.598145	0.001018	0.999760	1.001913	0.000602	17.469671	0.021426	nan	-0.127730
2026-06-26T04:20:57	ckpt_msrvtt_20260624_hn_pack_clean_diagB_seed43_pack42_2gpu_b64	3	48.103186	33.414739	14.688447	2.927837	0.597248	0.000821	0.999792	1.002264	0.000571	17.677803	0.018802	nan	-0.200824
2026-06-26T06:56:07	ckpt_msrvtt_20260624_hn_pack_clean_diagB_seed43_pack42_2gpu_b64	4	45.841955	29.488866	16.353089	2.931546	0.596808	0.000721	0.999826	1.002457	0.000557	18.070703	0.008977	nan	-0.240278
2026-06-26T09:30:48	ckpt_msrvtt_20260624_hn_pack_clean_diagB_seed43_pack42_2gpu_b64	5	44.484105	27.238501	17.245604	2.908116	0.596673	0.000694	0.999830	1.002514	0.000550	18.087699	0.008614	nan	-0.252530
