time	run_id	epoch	ret_pos_mean	ret_neg_mean	ret_gap	ret_pos_std	u_mode_mean	u_mode_std	epistemic_v_mean	var_text_mean	kl_text_mean	evidential_loss	neg_reg_loss	evidential_unc	logsigma_v
2026-06-18T05:12:23	ckpt_msrvtt_20260617_b1only_v2_repeat1	1	38.559972	28.240177	10.319795	2.905881	0.572291	0.001381	0.388158	0.484388	0.199683	13.326707	0.274380	nan	-1.322167
2026-06-18T10:58:57	ckpt_msrvtt_20260617_b1only_v2_repeat1	2	51.653817	38.766297	12.887520	2.990858	0.579928	0.000725	0.831341	0.223366	0.361211	15.603234	0.082416	nan	-1.484170
2026-06-18T17:11:53	ckpt_msrvtt_20260617_b1only_v2_repeat1	3	50.103910	35.533430	14.570480	3.009347	0.587577	0.000520	0.998034	0.223282	0.361336	8.692892	0.421006	nan	-1.499997
2026-06-18T23:07:34	ckpt_msrvtt_20260617_b1only_v2_repeat1	4	47.829501	31.874682	15.954819	2.992936	0.583189	0.000472	0.999496	0.223295	0.361313	17.379837	0.026249	nan	-1.499999
