time	run_id	epoch	ret_pos_mean	ret_neg_mean	ret_gap	ret_pos_std	u_mode_mean	u_mode_std	epistemic_v_mean	var_text_mean	kl_text_mean	evidential_loss	neg_reg_loss	evidential_unc	logsigma_v
2026-06-10T03:42:01	ckpt_msrvtt_20260610_013304	1	25.009865	11.479828	13.530037	3.773825	0.465625	0.002717	1.919233	0.537271	0.154068	7.322854	1.414025	nan	-0.242223
2026-06-10T05:51:57	ckpt_msrvtt_20260610_013304	2	31.554712	15.908661	15.646051	3.658335	0.346043	0.002071	0.216498	0.224912	0.358838	10.421569	1.702926	nan	-1.496430
2026-06-10T08:09:17	ckpt_msrvtt_20260610_013304	3	32.608409	15.453469	17.154941	3.389991	0.336769	0.001888	0.188768	0.223468	0.361097	11.504450	1.543648	nan	-1.499827
2026-06-10T10:34:14	ckpt_msrvtt_20260610_013304	4	32.011972	13.617949	18.394024	3.163077	0.337929	0.001843	0.165633	0.223414	0.361174	12.265036	1.428405	nan	-1.499979
2026-06-10T13:01:25	ckpt_msrvtt_20260610_013304	5	31.445558	12.432230	19.013328	3.006808	0.338479	0.001832	0.154214	0.223376	0.361226	12.513375	1.385120	nan	-1.499996
