time	run_id	epoch	ret_pos_mean	ret_neg_mean	ret_gap	ret_pos_std	u_mode_mean	u_mode_std	epistemic_v_mean	var_text_mean	kl_text_mean	evidential_loss	neg_reg_loss	evidential_unc	logsigma_v
2026-06-10T16:50:31	ckpt_msrvtt_20260610_142856	1	25.470761	13.620947	11.849814	3.360820	0.498501	0.003050	0.425293	0.582785	0.128630	14.510007	0.627901	nan	-1.023519
2026-06-10T19:15:49	ckpt_msrvtt_20260610_142856	2	31.577035	16.053613	15.523423	3.638691	0.472238	0.002988	0.223266	0.228297	0.353864	18.165519	0.055666	nan	-1.499505
2026-06-10T21:46:00	ckpt_msrvtt_20260610_142856	3	32.515749	15.090149	17.425600	3.433545	0.487816	0.002975	0.223166	0.223446	0.361113	18.298529	0.025043	nan	-1.499876
