time	run_id	epoch	ret_pos_mean	ret_neg_mean	ret_gap	ret_pos_std	u_mode_mean	u_mode_std	epistemic_v_mean	var_text_mean	kl_text_mean	evidential_loss	neg_reg_loss	evidential_unc	logsigma_v
2026-06-17T02:10:30	ckpt_msrvtt_20260617_000227	1	39.057250	28.702311	10.354939	2.908684	0.578782	0.001250	0.656686	0.431228	0.236396	9.911112	0.447144	nan	-0.777535
2026-06-17T04:19:51	ckpt_msrvtt_20260617_000227	2	51.862226	39.032699	12.829527	3.001542	0.586129	0.000637	0.902164	0.223312	0.361303	8.030305	0.493660	nan	-1.407574
2026-06-17T06:30:01	ckpt_msrvtt_20260617_000227	3	50.487422	36.050409	14.437013	3.007763	0.585664	0.000452	0.999307	0.223235	0.361408	9.670234	0.332927	nan	-1.499999
2026-06-17T08:39:38	ckpt_msrvtt_20260617_000227	4	48.230305	32.461849	15.768456	2.996006	0.588052	0.000421	0.999795	0.223243	0.361391	7.405723	0.447281	nan	-1.500000
2026-06-17T10:49:03	ckpt_msrvtt_20260617_000227	5	46.821526	30.383885	16.437641	2.997844	0.588608	0.000411	0.999965	0.223236	0.361403	6.606006	0.483912	nan	-1.500000
