time	run_id	epoch	ret_pos_mean	ret_neg_mean	ret_gap	ret_pos_std	u_mode_mean	u_mode_std	epistemic_v_mean	var_text_mean	kl_text_mean	evidential_loss	neg_reg_loss	evidential_unc	logsigma_v
2026-06-25T00:52:16	ckpt_msrvtt_20260624_hn_pack_clean_diagA_seed42_pack43_2gpu_b64	1	38.244224	28.037738	10.206487	2.804696	0.583108	0.001266	0.995890	0.999197	0.000638	11.101218	0.270849	nan	-0.032574
2026-06-25T03:26:36	ckpt_msrvtt_20260624_hn_pack_clean_diagA_seed42_pack43_2gpu_b64	2	50.297376	37.706389	12.590988	2.914010	0.588104	0.000966	0.999712	1.001980	0.000604	8.948217	0.356606	nan	-0.127728
2026-06-25T06:00:34	ckpt_msrvtt_20260624_hn_pack_clean_diagA_seed42_pack43_2gpu_b64	3	48.826806	34.477263	14.349543	2.899135	0.588135	0.000772	0.999782	1.001870	0.000571	8.560163	0.393879	nan	-0.200792
2026-06-25T08:34:00	ckpt_msrvtt_20260624_hn_pack_clean_diagA_seed42_pack43_2gpu_b64	4	46.370784	30.522956	15.847829	2.937060	0.588188	0.000689	0.999811	1.001827	0.000555	9.015382	0.372027	nan	-0.240255
2026-06-25T11:07:41	ckpt_msrvtt_20260624_hn_pack_clean_diagA_seed42_pack43_2gpu_b64	5	45.007520	28.368513	16.639007	2.893278	0.588184	0.000659	0.999813	1.001669	0.000548	8.504054	0.414835	nan	-0.252511
