time	run_id	epoch	ret_pos_mean	ret_neg_mean	ret_gap	ret_pos_std	u_mode_mean	u_mode_std	epistemic_v_mean	var_text_mean	kl_text_mean	evidential_loss	neg_reg_loss	evidential_unc	logsigma_v
2026-06-09T14:43:03	ckpt_msrvtt_20260609_121029	1	41.708036	24.030236	17.677801	4.840460	0.393655	0.002057	0.930402	0.383489	0.259581	5.244229	0.750482	nan	-0.860711
2026-06-09T17:18:18	ckpt_msrvtt_20260609_121029	2	49.003272	31.885079	17.118193	3.956104	0.327889	0.001466	0.136568	0.223180	0.361486	4.008878	1.015873	nan	-1.499934
2026-06-09T20:08:03	ckpt_msrvtt_20260609_121029	3	46.857301	27.381389	19.475912	3.957845	0.340869	0.001301	0.132574	0.223173	0.361495	3.913244	1.063569	nan	-1.499983
2026-06-09T22:28:23	ckpt_msrvtt_20260609_121029	4	44.043887	23.117218	20.926669	3.890035	0.348571	0.001217	0.127322	0.223160	0.361517	4.023628	0.963518	nan	-1.499996
