time	run_id	epoch	ret_pos_mean	ret_neg_mean	ret_gap	ret_pos_std	u_mode_mean	u_mode_std	epistemic_v_mean	var_text_mean	kl_text_mean	evidential_loss	neg_reg_loss	evidential_unc	logsigma_v
2026-06-09T01:31:13	ckpt_msrvtt_20260608_180208	3	44.434290	27.823451	16.610839	3.403254	0.329462	0.001726	0.156106	0.223299	0.361312	12.115820	0.427133	nan	-1.499916
2026-06-09T04:00:41	ckpt_msrvtt_20260608_180208	4	42.978910	24.974683	18.004227	3.253457	0.332214	0.001656	0.145235	0.223326	0.361271	10.642659	0.569855	nan	-1.499979
2026-06-09T06:30:16	ckpt_msrvtt_20260608_180208	5	41.963394	23.153141	18.810253	3.210180	0.333344	0.001655	0.139727	0.223298	0.361313	11.120312	0.518430	nan	-1.499992
