time	run_id	epoch	ret_pos_mean	ret_neg_mean	ret_gap	ret_pos_std	u_mode_mean	u_mode_std	epistemic_v_mean	var_text_mean	kl_text_mean	evidential_loss	neg_reg_loss	evidential_unc	logsigma_v
2026-06-23T00:48:07	ckpt_msrvtt_20260622_hn_pack_clean_wmil0_repeat1_4gpu_b64	1	38.299121	28.079586	10.219535	2.809322	0.583881	0.001213	0.995968	0.998851	0.000640	12.062924	0.227164	nan	-0.032487
2026-06-23T02:58:08	ckpt_msrvtt_20260622_hn_pack_clean_wmil0_repeat1_4gpu_b64	2	49.946233	37.012205	12.934028	2.919655	0.588269	0.000902	0.999723	1.001795	0.000615	9.987672	0.306555	nan	-0.127659
2026-06-23T05:08:08	ckpt_msrvtt_20260622_hn_pack_clean_wmil0_repeat1_4gpu_b64	3	48.055648	33.224154	14.831494	2.929298	0.588509	0.000700	0.999771	1.001595	0.000579	12.010652	0.211500	nan	-0.200706
2026-06-23T07:17:46	ckpt_msrvtt_20260622_hn_pack_clean_wmil0_repeat1_4gpu_b64	4	45.567387	29.176949	16.390437	2.933661	0.588593	0.000618	0.999807	1.001264	0.000559	10.792429	0.278146	nan	-0.240143
2026-06-23T09:27:34	ckpt_msrvtt_20260622_hn_pack_clean_wmil0_repeat1_4gpu_b64	5	44.238977	26.930095	17.308882	2.912521	0.588561	0.000599	0.999815	1.001120	0.000551	10.874306	0.269998	nan	-0.252386
