time	run_id	epoch	ret_pos_mean	ret_neg_mean	ret_gap	ret_pos_std	u_mode_mean	u_mode_std	epistemic_v_mean	var_text_mean	kl_text_mean	evidential_loss	neg_reg_loss	evidential_unc	logsigma_v
2026-06-12T16:30:35	ckpt_msrvtt_20260612_140901	1	32.560257	16.819543	15.740715	4.272220	0.546056	0.001589	0.616511	0.431252	0.236603	10.317877	0.438112	nan	-0.842499
2026-06-12T19:09:26	ckpt_msrvtt_20260612_140901	2	39.271061	16.901247	22.369814	5.135633	0.522143	0.001849	0.871409	0.223236	0.361404	8.189686	0.533107	nan	-1.400101
2026-06-12T21:49:54	ckpt_msrvtt_20260612_140901	3	36.772030	11.110476	25.661554	5.031570	0.488759	0.002537	0.950039	0.223205	0.361449	10.683712	0.258215	nan	-1.499962
