time	run_id	epoch	ret_pos_mean	ret_neg_mean	ret_gap	ret_pos_std	u_mode_mean	u_mode_std	epistemic_v_mean	var_text_mean	kl_text_mean	evidential_loss	neg_reg_loss	evidential_unc	logsigma_v
2026-06-12T00:49:14	ckpt_msrvtt_20260611_201059	2	47.925226	32.520744	15.404483	3.582190	0.427964	0.002196	0.224457	0.223287	0.361331	9.707034	0.722969	nan	-1.496281
2026-06-12T03:09:12	ckpt_msrvtt_20260611_201059	3	46.439875	28.995161	17.444715	3.575190	0.449859	0.002136	0.223252	0.223213	0.361437	12.386749	0.336155	nan	-1.499680
2026-06-12T05:30:19	ckpt_msrvtt_20260611_201059	4	43.916827	24.826016	19.090810	3.511150	0.466112	0.002032	0.223424	0.223218	0.361427	9.191663	0.557257	nan	-1.499206
2026-06-12T07:51:51	ckpt_msrvtt_20260611_201059	5	42.228840	22.398765	19.830075	3.466588	0.471452	0.002002	0.223133	0.223211	0.361439	9.577799	0.507982	nan	-1.499992
