time	run_id	epoch	ret_pos_mean	ret_neg_mean	ret_gap	ret_pos_std	u_mode_mean	u_mode_std	epistemic_v_mean	var_text_mean	kl_text_mean	evidential_loss	neg_reg_loss	evidential_unc	logsigma_v
2026-06-24T02:55:55	ckpt_msrvtt_20260624_hn_pack_clean_wmil0_repeat2_4gpu_b64	1	38.440842	28.205117	10.235725	2.806688	0.595015	0.001317	0.995880	0.998136	0.000641	15.661675	0.078189	nan	-0.032643
2026-06-24T05:05:58	ckpt_msrvtt_20260624_hn_pack_clean_wmil0_repeat2_4gpu_b64	2	50.081554	37.319388	12.762166	2.910968	0.598089	0.000957	0.999763	1.001748	0.000596	16.835671	0.037208	nan	-0.127668
2026-06-24T07:16:24	ckpt_msrvtt_20260624_hn_pack_clean_wmil0_repeat2_4gpu_b64	3	48.603327	34.014837	14.588490	2.906182	0.597042	0.000760	0.999807	1.001948	0.000573	17.780864	0.014722	nan	-0.200710
2026-06-24T09:26:21	ckpt_msrvtt_20260624_hn_pack_clean_wmil0_repeat2_4gpu_b64	4	46.383904	30.280850	16.103054	2.941531	0.596734	0.000659	0.999828	1.002099	0.000566	17.912689	0.011874	nan	-0.240157
2026-06-24T11:38:24	ckpt_msrvtt_20260624_hn_pack_clean_wmil0_repeat2_4gpu_b64	5	44.944348	28.094446	16.849902	2.899901	0.596605	0.000637	0.999835	1.002113	0.000564	18.030326	0.009372	nan	-0.252401
