time	run_id	epoch	ret_pos_mean	ret_neg_mean	ret_gap	ret_pos_std	u_mode_mean	u_mode_std	epistemic_v_mean	var_text_mean	kl_text_mean	evidential_loss	neg_reg_loss	evidential_unc	logsigma_v
2026-06-15T15:20:51	ckpt_msrvtt_20260615_130352	1	32.941895	14.941437	18.000458	4.812828	0.624227	0.001490	0.326183	0.436649	0.230969	12.719474	0.370801	nan	-1.421046
2026-06-15T17:46:24	ckpt_msrvtt_20260615_130352	2	40.183209	17.361874	22.821335	5.205323	0.604581	0.000917	0.731535	0.223228	0.361413	8.876734	0.522624	nan	-1.497595
2026-06-15T20:03:38	ckpt_msrvtt_20260615_130352	3	38.570158	13.789498	24.780661	4.868721	0.591032	0.000686	0.991738	0.223190	0.361471	9.777815	0.322984	nan	-1.499990
2026-06-15T22:13:28	ckpt_msrvtt_20260615_130352	4	36.692079	10.866653	25.825427	4.519853	0.589071	0.000601	0.998653	0.223209	0.361441	14.823031	0.094478	nan	-1.499999
