time	run_id	epoch	ret_pos_mean	ret_neg_mean	ret_gap	ret_pos_std	u_mode_mean	u_mode_std	epistemic_v_mean	var_text_mean	kl_text_mean	evidential_loss	neg_reg_loss	evidential_unc	logsigma_v
2026-06-14T17:29:25	ckpt_msrvtt_20260614_151525	1	20.343302	1.595289	18.748013	6.386040	0.581780	0.003753	0.742100	0.410046	0.248241	15.058737	0.244378	nan	-0.514684
2026-06-14T19:38:43	ckpt_msrvtt_20260614_151525	2	26.502224	1.928953	24.573271	7.050621	0.592817	0.002590	0.829635	0.223201	0.361455	17.179830	0.209258	nan	-1.069678
2026-06-14T21:48:13	ckpt_msrvtt_20260614_151525	3	28.637635	1.847341	26.790294	6.856897	0.589509	0.001382	0.932225	0.223185	0.361479	13.517648	0.328066	nan	-1.485441
